comment,author,published_at,like_count,video_id
😮😊❤,@BimalaRouSinghaBimala,2024-02-04T09:02:58Z,0,k__Yf85C7M4
দিদি আপনার ফোনের নাম্বার দিতে পারবেন,@ranjitmahto6005,2022-05-27T05:45:27Z,0,k__Yf85C7M4
🌺🥀🌷⚘🌹,@rajeshoraon4310,2021-12-16T08:53:36Z,0,k__Yf85C7M4
vrye vrye nise,@mdyeamin4500,2021-11-04T07:12:53Z,1,k__Yf85C7M4
তোমাদের কালীপুজোয় কি করে সাজো আমাকে দেখাতে হবে কি জামা পড়ছে সেটাও দেখাতে হবে আমার নাম তাহমিনা খাতুন,@rajkhan4001,2021-11-03T06:37:06Z,0,k__Yf85C7M4
Tomar Bari kothai,@rinkuparua9768,2021-09-13T08:43:48Z,0,k__Yf85C7M4
I like black dress 💖💖💖💖😄😄,@jamalahmed4283,2021-08-05T07:17:01Z,0,k__Yf85C7M4
tomar na long dress valolagana tahola poro kano ha ha ha ha,@jihanrahman9762,2021-07-28T12:54:32Z,0,k__Yf85C7M4
Pls dubning karo,@sreeparnamallik,2021-07-23T11:42:36Z,0,k__Yf85C7M4
Aapka jo braslet he n mujhe sab se acha laga...very beautiful 😉,@simranchavhan16,2021-06-15T14:09:23Z,0,k__Yf85C7M4
Very  good ❤💙💚💛💜💓💕💖💗💞💟,@anweshagayenclass-1sec-aro149,2021-06-07T03:38:07Z,0,k__Yf85C7M4
কহই,@gamingwithlimon9701,2021-05-23T06:07:14Z,0,k__Yf85C7M4
"Yellow dress mere pas hai
But maine 525 me purchase kiya hai",@Priyanka-c-q,2021-05-03T17:07:58Z,0,k__Yf85C7M4
Please full day rutin video,@_farzanaliza_5777,2021-03-26T07:09:14Z,0,k__Yf85C7M4
Very nice,@sonaliakter464,2021-03-25T09:36:33Z,0,k__Yf85C7M4
Nice,@nahidaakter9070,2021-03-13T04:15:37Z,0,k__Yf85C7M4
4:19 🔥❤️👍 cool............ Dress,@IDK._X,2021-02-23T14:45:42Z,0,k__Yf85C7M4
0:49 ur looking beautiful in this dress,@IDK._X,2021-02-23T14:42:57Z,0,k__Yf85C7M4
বাংলাতে চাই,@khokanparvez7482,2021-02-22T16:10:25Z,1,k__Yf85C7M4
So sweet,@mylifevlog3574,2021-02-10T05:17:14Z,0,k__Yf85C7M4
Nice soma,@manibasarafi,2021-02-01T11:01:45Z,0,k__Yf85C7M4
Yollow nhi hota yellow hota hai,@aanyathakur6676,2021-01-30T07:05:56Z,1,k__Yf85C7M4
❤️❤️,@tanishabarma8636,2021-01-24T09:46:13Z,0,k__Yf85C7M4
Farming hacks please,@ashutoshsahuashu298,2021-01-17T03:59:11Z,0,k__Yf85C7M4
Hi.soma.sistar,@MrEliasVlog,2021-01-12T07:35:00Z,1,k__Yf85C7M4
i your dress most beautiful mustrad yellow i like the mosdt,@videoqueen5610,2021-01-11T02:14:33Z,2,k__Yf85C7M4
I went something just like this song akta vision plz plz,@shakrohul7448,2021-01-01T14:22:00Z,0,k__Yf85C7M4
Tank you,@MdAbdul-zj8mt,2020-12-30T03:55:00Z,0,k__Yf85C7M4
😋😋😗😋😜😜😜😜😜,@animaghosh7924,2020-12-24T03:49:18Z,0,k__Yf85C7M4
Cute ☺️,@Flexible_Edit0r,2020-12-23T06:13:41Z,0,k__Yf85C7M4
সুমা  আপু  বাংলা haks  দেখাও,@RamjanAli-sx9up,2020-12-23T04:36:33Z,0,k__Yf85C7M4
Soma Didi you are so beautiful and cute😘,@mohasinhowlader5114,2020-12-22T04:31:22Z,0,k__Yf85C7M4
1,@nourzzaman669,2020-12-05T03:41:39Z,0,k__Yf85C7M4
Didi you are bengale or hindi,@drishtighoshclass3secdroll765,2020-12-02T06:07:59Z,0,k__Yf85C7M4
Pink is my favourite colour☺☺☺,@gojosatoru30674,2020-11-29T15:58:18Z,0,k__Yf85C7M4
So cute lovely and pretty,@littleparida2169,2020-11-20T13:35:35Z,0,k__Yf85C7M4
kya aap sab sisters hne🤔🤔,@amritamohapatra1280,2020-11-20T12:56:51Z,0,k__Yf85C7M4
Please akta funny video deo,@tanhaanjum8351,2020-11-15T08:52:13Z,0,k__Yf85C7M4
বেচলেটা কোথায় থেকে কিনেছো?,@Mahfuza_ara,2020-11-09T14:22:00Z,0,k__Yf85C7M4
golape ta onak sunthar,@riponmiah471,2020-11-05T10:08:26Z,0,k__Yf85C7M4
Amar sutho soma k e valo laga,@riponmiah471,2020-11-05T10:07:25Z,0,k__Yf85C7M4
Didi hi,@rupabairagi5950,2020-11-05T08:41:45Z,0,k__Yf85C7M4
⚘⚘⚘⚘⚘⚘⚘⚘⚘🌹🌹🌹🌹🌹🌹🌹🌹🌹🌷🌷🌷🌷🌷🌷🌷🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻💐💐💐💐💐💐💐💐💐💐🏵🏵🏵🏵🏵🏵🏵🌸🌸🌸🌸🌸🌸🌺🌺🌺🌺🌺🌺🌺🌺🌺🥀🥀🥀🥀🥀🥀♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️🍬🍬🍬🍬🍬🍬🍬🍬🍬🍬🍬🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍭🍭🍭🍭🍭🍭🍭🍭🍭🍭🍿🍿🍿🍿🍿🍿🍿🍿🍿🍿🍿🍿🍿🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂🥂,@almozaakter,2020-11-04T13:12:57Z,1,k__Yf85C7M4
আই   লাভ    ইউ   সোমা  আমি  বাংলা  দেশে  থাকি,@almozaakter,2020-11-04T13:11:21Z,1,k__Yf85C7M4
Cashkaro se cod nehi kar sakte kya di?,@trinayapathak,2020-10-31T18:52:28Z,0,k__Yf85C7M4
নক বড় করার উপায় বলো,@mirjalalzaz9508,2020-10-31T13:04:18Z,1,k__Yf85C7M4
বাংলা চাই আমি শুধু তোমাদের ভিডিও দেখি।,@Mahfuza_ara,2020-10-31T11:03:44Z,0,k__Yf85C7M4
Nice,@jenfkhan4265,2020-10-30T14:16:02Z,0,k__Yf85C7M4
Didi ata Bengali te akta video banan,@aafiayhkhatun8540,2020-10-30T07:04:31Z,0,k__Yf85C7M4
I love you 💗💛😘😘💗 soma 🥰🥰😍,@salmindati7564,2020-10-30T05:26:56Z,0,k__Yf85C7M4
Didi aapka choice bohot acchi hai aur colours bhi bohot cute hai😊😊,@suparnasur7243,2020-10-29T11:21:22Z,0,k__Yf85C7M4
pink dress and bracelate,@mamunurrashed1943,2020-10-29T04:11:19Z,0,k__Yf85C7M4
খুব সুন্দর লাগছে❤️,@debashisbarat8565,2020-10-28T17:29:56Z,0,k__Yf85C7M4
I love   Soma    🤗🤗🤗🤗🤗🤗🤗,@mezirabbi159,2020-10-28T15:52:16Z,1,k__Yf85C7M4
"Soma di  your are looking so beautiful  in the 1st pink dress .
Looking cute😍😍🤗🤗🤗🤗🤗🤗😍😍😍😍",@varashakarale7562,2020-10-28T15:43:49Z,0,k__Yf85C7M4
Wow. Looking so nice.please tum hara numbar do ge 😦😟😚....,@Lifestyle_of_Munni,2020-10-28T14:47:31Z,0,k__Yf85C7M4
Kese ho soma.☺😍. O.... Tum kitna kiut. Ho😍😍,@Lifestyle_of_Munni,2020-10-28T14:45:01Z,0,k__Yf85C7M4
4:30 it's looking gorgeous on you di 💓💓💓💓💓💓,@ur_life_ur_way,2020-10-27T09:54:34Z,1,k__Yf85C7M4
Hi mi janvi,@niveditabhavsar9312,2020-10-26T16:15:01Z,0,k__Yf85C7M4
"All dresses were awesome by u srinaya I will buy any 2 of them 
Wishing to get a ❤️ heart ❤️ and a reply from srinaya",@VijaylaxmiKaunderVIA,2020-10-26T13:35:54Z,2,k__Yf85C7M4
Soma di you are amazing,@craftwithayuaniofficial8785,2020-10-26T12:03:27Z,0,k__Yf85C7M4
Online class hacks please,@mosharofmosharof5472,2020-10-26T10:47:50Z,0,k__Yf85C7M4
Soma di fan,@paltumahajan9240,2020-10-26T09:45:58Z,0,k__Yf85C7M4
"Di,Are you married??",@khusheebhimajiyani4877,2020-10-26T08:29:48Z,1,k__Yf85C7M4
Di ma Bangladesh sa ho. Tom cuti ho plz plz di reaply plz,@prachi7453,2020-10-26T06:48:53Z,0,k__Yf85C7M4
Very nice video,@img55366,2020-10-26T05:21:35Z,0,k__Yf85C7M4
Soma dee so partty loveli,@mekaupabcd6347,2020-10-26T05:15:49Z,0,k__Yf85C7M4
Di me aapki sri video dikati ho mije bahut acha lgta hai very nice di,@punamdevi2567,2020-10-26T05:15:47Z,0,k__Yf85C7M4
Di home tour plzzzzzz,@dipadeka553,2020-10-26T04:55:25Z,2,k__Yf85C7M4
You are looking so nice in the dresses,@khushi-lj8vh,2020-10-26T04:50:52Z,0,k__Yf85C7M4
Awesome 😊😊,@shofiulalamlaskar1419,2020-10-26T04:17:10Z,0,k__Yf85C7M4
joss,@tomadash3774,2020-10-26T04:14:25Z,0,k__Yf85C7M4
Mustard yollow 🤣🤣🤣🤣🤣,@beautifulzara231,2020-10-26T04:05:55Z,0,k__Yf85C7M4
Kya aap mera channel subscribe karugi agar aap mara channel subscribe karugi please 🙏🙏🙏🙏https://youtu.be/LaCJydDQ7H8.  Kariya,@examtips8701,2020-10-26T00:45:06Z,0,k__Yf85C7M4
Bangladesh is my country,@samiyascreenprint7673,2020-10-25T19:13:37Z,0,k__Yf85C7M4
Apu  ay  video  tar    bangla   dhakta   chai,@animasarker363,2020-10-25T18:50:15Z,0,k__Yf85C7M4
Beautiful collections di😙😙😙,@gurleenkour7005,2020-10-25T17:22:07Z,0,k__Yf85C7M4
Happy dashara didi 😘😘,@LokendraSingh-yh2nq,2020-10-25T16:49:57Z,0,k__Yf85C7M4
Please make testing out some viral haks,@madhulohia1151,2020-10-25T16:48:52Z,0,k__Yf85C7M4
very. nice👌👌👌💕,@chikubajaj6608,2020-10-25T16:43:18Z,0,k__Yf85C7M4
"আরেভাইকিয়াদেখারিহিওঅরহিনিদমে
কিউবলোরিহিওবাংলাবলোনাplesenew
Videoচাইয়ে",@mesbaulhoqchyresvy8708,2020-10-25T16:24:38Z,0,k__Yf85C7M4
🥰🥰😍,@komalsanjuagrawal7774,2020-10-25T16:17:01Z,0,k__Yf85C7M4
hi,@opiarfin9429,2020-10-25T16:09:06Z,0,k__Yf85C7M4
Expect a ❤ from soma di plz,@t_o_t_a_l_a_r_t_a_n_d_c_r_2285,2020-10-25T16:08:58Z,1,k__Yf85C7M4
Are haa dii kya choice hai apka 😍😍❤️,@rizz7227,2020-10-25T16:08:24Z,7,k__Yf85C7M4
Nice,@mdobayed5881,2020-10-25T15:56:19Z,0,k__Yf85C7M4
সুন্দর।💕💕💕,@zabinangkita8019,2020-10-25T15:32:02Z,1,k__Yf85C7M4
Ohh noo bohot zyda late ho gayi me tho comment karne me 😕 and nice kurta di love it😍❤ bohot cute lag rhe ho😊,@nameerabanu7701,2020-10-25T15:12:21Z,1,k__Yf85C7M4
"Nice ❤️😘👍from California, U.S.A",@tamalikadhar007,2020-10-25T15:12:21Z,2,k__Yf85C7M4
Wow!!,@adifah.afsheen,2020-10-25T15:02:44Z,1,k__Yf85C7M4
Amazing vedio ❤️,@muhammadalimuhammadali9579,2020-10-25T15:01:00Z,2,k__Yf85C7M4
Onk valo laglo,@prethaislam7519,2020-10-25T14:59:42Z,1,k__Yf85C7M4
Imagine get a heart from soma di☺☺,@MimsWorld123,2020-10-25T14:33:36Z,0,k__Yf85C7M4
Nice video,@maherumehzabiennobonita9085,2020-10-25T14:29:24Z,0,k__Yf85C7M4
the Breslate is so beautifully.I like it. Soma didi you are so cute,@hosneara5579,2020-10-25T14:28:13Z,16,k__Yf85C7M4
Some di make different type of haul again,@kirandubey3728,2020-10-25T14:28:11Z,4,k__Yf85C7M4
Make more haul vdo,@pinkangel8398,2020-10-25T14:18:58Z,1,k__Yf85C7M4
",সবগুলোে ড্রেসেই তোমাকে খুব মিষ্টি লাগছে।",@sumaiyasaeed9295,2020-10-25T14:05:14Z,1,k__Yf85C7M4
Most rubbish  customer service by Myntra..customer service super incompetent ..no resolution despite repeat escalations,@srivi444,2023-12-15T04:13:35Z,2,QNBzPrsD65s
Quality only on myntra,@PandaSwapSol,2023-12-13T04:10:32Z,4,QNBzPrsD65s
i really love the quality of myntra  products ❤,@haulonlineshopping,2023-12-11T09:05:39Z,7,QNBzPrsD65s
"Harsh T-shirt is saying out of stock, stock up quickly",@sudeshvlogs01,2023-12-09T13:19:42Z,2,QNBzPrsD65s
VIRAT ❤❤❤,@twphscyo2301,2023-12-09T12:49:40Z,3,QNBzPrsD65s
Thank you,@renchal2017,2023-12-09T04:51:36Z,4,QNBzPrsD65s
ur ear rings look v preety link plz,@sanasultana4245,2026-07-14T18:12:45Z,0,Ua4_P2eZrTU
2nd no ka dress ka link nahi h please de usko fir se teg kar dijiye mujhe wo chaiye please i love it jab link he nahi milta to mn udash ho jata h kya fhyada fir video dekhne ka,@MissShazia-x4s,2026-06-07T17:07:33Z,0,Ua4_P2eZrTU
Link plz,@garimamahluwalia1570,2026-05-08T11:42:49Z,0,Ua4_P2eZrTU
Link is not visible can u plz tag it again,@Saanvi00009,2026-03-08T20:56:56Z,2,Ua4_P2eZrTU
"That purple suit oh my God! I ordered it and I’m absolutely in love with it. The farshi salwar is just stunning. 😭🤌🏻🫶🏻 You should definitely show more designs like this, especially more farshi salwar suits!",@dayswither,2026-02-24T08:18:20Z,0,Ua4_P2eZrTU
Please do a haul under budget...I mean under 1200,@cookingwithRojaofficial,2026-02-09T05:10:45Z,0,Ua4_P2eZrTU
Nice collection ❤,@saraa-7860,2026-02-07T16:21:13Z,0,Ua4_P2eZrTU
"Please tell your lip colour shade ....❤❤it's lovely 
...",@shafaqnoor8128,2026-01-21T12:53:38Z,0,Ua4_P2eZrTU
"The shirt you are wearing is soo good
Share us link",@vrushalishrimali9554,2026-01-13T17:02:08Z,0,Ua4_P2eZrTU
"Heloo shivani apke video ka phla anouk wala suit maine order kar diya hai ... but abhi maine review dkhe to waha likha hai logo ne k iski stiching acchi nahi hai , pick bhi lagayi hui hai ..pls kya ap bata skte ho k iski cloth quality aur stiching kaisi hai kyuki mai out of india hu mere pas isko change karne ka time nahi hoga ..plss hlp me",@minaalmohsinshaikh4623,2026-01-13T03:16:50Z,0,Ua4_P2eZrTU
"Not good deal,,, ye suit is price me hi aate h and same febric,, myntra sale me b whi price h,, over price krke sale me kam Krna...",@minakshisingh1228,2025-12-27T19:48:31Z,2,Ua4_P2eZrTU
farshi suit reviews pls,@wooyo1,2025-12-15T19:17:27Z,0,Ua4_P2eZrTU
One of my fav fashion youtuber❤❤❤❤..I always rely on your recommendations specially for ethnic suits...and in every outfit you look absolute pretty 😍😍😍😍😍,@snehasudhamohapatra9620,2025-12-15T07:46:33Z,0,Ua4_P2eZrTU
"Amazing haul.....😊
Blue and beige me I was also thinking 'ye sleeves me b daalte to kitna mast hota ' & u said the same...😅",@vrfam6,2025-12-14T13:03:26Z,0,Ua4_P2eZrTU
Aap single link Dalo,@sajidachaudhary6714,2025-12-13T14:51:00Z,0,Ua4_P2eZrTU
First Vali suit ka link nahin Hai,@sajidachaudhary6714,2025-12-13T14:50:29Z,0,Ua4_P2eZrTU
Jean's haul from myntra,@riyajaiswal1902,2025-12-13T13:15:21Z,0,Ua4_P2eZrTU
Turquoise v neck link is missing..pls addit dii,@minnieprasad6756,2025-12-12T11:22:25Z,3,Ua4_P2eZrTU
di pls do haul on affordable lehenga,@dr.pragatitiwari601,2025-12-11T16:23:57Z,0,Ua4_P2eZrTU
Please buy farsi suits i want a review so I can buy them because your choice is great 👍🏻,@Soni-mj4pn,2025-12-11T16:09:30Z,4,Ua4_P2eZrTU
Mam ek suit ka link nhi hai pink  and turquoise wala wo mera fav hai please usk link dijiyega,@VelvetSkies-J,2025-12-11T10:45:37Z,0,Ua4_P2eZrTU
Plz make a soch brand haul,@YaanuMirza,2025-12-11T10:33:30Z,0,Ua4_P2eZrTU
Hey beautiful! What's your height?,@shahzadiparween9150,2025-12-11T03:57:34Z,0,Ua4_P2eZrTU
Appke suit ka link nahi mil raha open hi nahi ho Raha,@rekhaverma8978,2025-12-11T00:50:03Z,0,Ua4_P2eZrTU
kashmiri kurti haul plz,@AfifaKhan-n8d,2025-12-10T15:23:37Z,1,Ua4_P2eZrTU
Hi mam..aap ye sab purchase karke kya karte hai is clothes ka ..and apki youtube se kaise earning hoti hai ..❤❤,@DeepikaSachdev-m8e,2025-12-10T14:52:23Z,0,Ua4_P2eZrTU
The honest glow my channel I do affordable myntra clothing hauls,@kasha6719,2025-12-10T14:10:52Z,0,Ua4_P2eZrTU
Nice collection,@GirishkapoorKapoor-rs1hs,2025-12-10T14:03:32Z,1,Ua4_P2eZrTU
We want Farshi salwar suit haul,@alviraaarif2981,2025-12-10T13:41:18Z,3,Ua4_P2eZrTU
Beautiful ❤,@SoniaKapoor-fq7vv,2025-12-10T13:02:33Z,1,Ua4_P2eZrTU
"Shivani di could you make haul on wedding functions like haldi mehndi, my edler sister's wedding in march! Please make a video haul!🤌🏻💗",@anjalitiwari1380,2025-12-10T10:41:44Z,5,Ua4_P2eZrTU
"So pretty collaction,2 no suit so pretty 😍",@SAYRA_vlog786,2025-12-10T09:10:18Z,3,Ua4_P2eZrTU
Beautiful collection dee thank you,@abdulshahid1007,2025-12-10T08:54:10Z,1,Ua4_P2eZrTU
Aapne jo shirt wear kiya uska link dijiye diii,@ritu1802,2025-12-10T08:45:25Z,0,Ua4_P2eZrTU
Looking Beautiful As Always Shivani And I am Watching your Videos Since Years And Years Ago and I really really appreciate your hardwork you do for us and I am your biggest biggest biggest supporter As Always 💖💖💖,@mansoor3159,2025-12-10T08:31:48Z,2,Ua4_P2eZrTU
Earings ❤,@VeenaDhyani-z3t,2025-06-01T07:06:24Z,0,owLbOEl5_bo
👌👌♥️♥️,@ratnpriyapandey373,2025-05-31T18:15:49Z,0,owLbOEl5_bo
Kuchh desiner  piece dikhao,@bintasingh5106,2025-05-31T10:29:09Z,0,owLbOEl5_bo
Aapka size pls,@AfterDarkEdits-x7y,2025-05-31T08:14:00Z,0,owLbOEl5_bo
Shareee bhut achi h goood haul 😊,@navyapanwariya3920,2025-05-31T08:08:35Z,0,owLbOEl5_bo
Best collection ❤best video,@richasachingupta9021,2025-05-31T06:21:09Z,0,owLbOEl5_bo
Blazer lengha set,@jyotibansiwal3703,2025-05-31T06:02:06Z,0,owLbOEl5_bo
